SA1_2021,IER_2021
10201102803,1067.383325
10201102804,1087.141204
10201102805,1136.883505
10201102806,1107.123027
10201102807,1072.537476
10201102808,1150.623459
10201102809,1148.547813
10201102810,1119.522897
10201102811,1118.493577
10201102812,1103.8813
10201102813,1024.010504
10201102814,1067.393449
10201102815,1033.030011
10201102816,1126.125708
10201102817,1123.624492
10201102818,1113.812781
10201102901,1093.071198
10201102902,1099.400008
10201102903,1038.59596
10201102904,1048.619219
10201102905,1096.069799
10201102906,1087.152568
10201102907,1082.301729
10201102908,1063.968412
10201102909,1085.626404
10201102910,1032.067682
10201102911,1059.376349
10201102912,1109.593851
10201102913,1131.157815
10201102914,1156.009736
10201102915,1098.379497
10201102916,1053.346725
10201102917,1089.441231
10201102918,1098.801038
10201102919,1003.033239
10201102922,1146.645202
10201102923,1102.092819
10201102924,1144.121874
10201102925,1046.529445
10201102926,1145.66883
10201102927,1065.728265
10201102928,923.6703381
10201103002,1078.267479
10201103003,1016.361378
10201103004,1079.186263
10201103005,1134.250053
10201103006,1102.206889
10201103007,1068.007613
10201103008,1050.610919
10201103009,1047.160095
10201103010,987.6222354
10201103011,936.5340252
10201103012,1085.913178
10201103013,-
10201103014,1086.252385
10201103101,1121.991423
10201103102,1015.42237
10201103103,897.1935325
10201103104,847.3254753
10201103105,1022.236858
10201103106,953.6813614
10201103107,1097.954914
10201103108,1127.366085
10201103109,1124.374665
10201103110,1030.093458
10201103111,1035.600186
10201103112,1162.307643
10201103113,1168.405625
10201103114,1154.946823
10201103115,1201.191937
10201103116,1118.864478
10201103117,1081.907545
10201103118,1192.71744
10201103119,1116.262153
10201103120,1089.974038
10201103121,1046.508111
10201103122,1040.807107
10201103123,859.1614369
10201103124,1054.268783
10201103125,1018.54611
10201103126,869.3332887
10201103127,1109.069493
10201103128,1087.791031
10201103129,1137.094944
10201103130,1093.503445
10201103131,869.4132141
10201103133,1108.570006
10201103134,1028.708782
10201103135,1066.685027
10201103136,1020.673104
10201103137,977.8103875
10201103138,1006.842082
10201103201,1029.458908
10201103202,849.3028331
10201103203,1079.484544
10201103204,833.509443
10201103205,794.0503898
10201103206,996.3671836
10201103207,926.10436
10201103208,895.5489725
10201103210,844.2194566
10201103211,980.5301498
10201103212,1003.833552
10201103213,1044.690996
10201103214,1046.741861
10201103215,976.4183388
10201103216,1025.220858
10201103217,1073.931894
10201103218,1064.981818
10201103219,907.3261066
10201103220,918.6402535
10201103221,902.5743921
10201103224,909.3514602
10201103225,1039.501638
10201103226,884.78025
10201103227,780.3128118
10201103228,838.0672178
10201103229,832.7259969
10201103230,868.987687
10201103231,980.0930373
10201103232,973.7044084
10201103233,1068.900218
10201103234,1056.850908
10201103235,859.450463
10201103236,788.3793882
10201103237,902.2370094
10201103238,1102.111013
10201103239,975.183139
10201103240,857.9292273
10201103241,923.1515558
10201103242,835.2272613
10201103243,1076.557972
10201103244,893.4466004
10201103245,843.539639
10201103246,1091.956413
10201103247,1191.077721
10201103248,842.4714739
10201103301,1000.123325
10201103302,1019.895753
10201103303,1061.539584
10201103304,1041.975214
10201103305,1046.811299
10201103306,1086.04094
10201103307,1073.932086
10201103308,1046.2105
10201103310,1058.989447
